#MaxRadius:0.89956	MaxHeight:62.56	MaxLength:78.2
2634
0.65446	30.825	15.716
0.68957	32.156	15.543
0.76996	33.613	15.55
0.70618	34.971	14.988
0.56399	36.203	15.264
0.72337	37.333	14.663
0.69629	39.522	14.826
0.64686	40.789	14.38
0.77777	41.973	15.167
0.62257	44.358	15.063
0.78722	45.973	14.403
0.85262	47.593	14.195
0.62812	48.885	14.907
0.69754	50.16	14.573
0.73369	51.573	14.733
0.66487	52.955	14.591
0.70161	54.31	14.67
0.64548	55.624	14.939
0.72221	56.986	15.229
0.74118	58.532	15.229
0.67003	60.257	14.319
0.62388	61.242	15.154
0.65614	62.521	15.158
0.72378	64.102	14.954
0.78604	65.559	14.562
0.71736	66.868	15.296
0.70062	68.176	14.748
0.60179	69.226	15.515
0.78553	70.882	15.149
0.81887	72.438	14.762
0.8769	74.095	15.127
0.69028	75.598	15.559
0.67344	76.943	15.762
0.59032	0.91696	17.447
0.76663	1.9335	16.554
0.60064	3.1648	15.969
0.64244	4.2939	16.473
0.67501	5.8346	17.017
0.66098	7.044	16.451
0.64151	8.2897	17.036
0.66065	9.4528	16.451
0.76451	10.872	16.416
0.61763	12.246	16.276
0.67759	13.53	16.445
0.66343	15.011	16.677
0.70481	16.377	16.752
0.82579	18.189	16.769
0.70515	20.086	17.092
0.61323	21.392	17.213
0.70092	22.7	17.178
0.77194	24.097	17.623
0.65166	25.144	16.663
0.51184	26.181	16.137
0.62289	27.308	16.018
0.62696	29.044	17.572
0.7471	30.279	16.994
0.65568	31.662	16.793
0.59049	32.901	16.704
0.66697	34.143	16.885
0.76073	35.472	16.365
0.63016	37.137	16
0.67909	38.38	15.591
0.72589	40.594	15.755
0.65305	41.835	16.585
0.7642	43.297	15.948
0.69299	45.455	15.78
0.75444	46.892	15.636
0.70853	48.275	16.091
0.79453	49.776	16.015
0.7386	51.3	16.171
0.81428	52.844	16.059
0.76321	54.418	16.128
0.78353	55.951	16.321
0.65953	57.373	16.555
0.77807	58.8	16.716
0.75278	59.946	15.704
0.69647	61.172	16.469
0.80544	62.659	16.61
0.79066	64.239	16.457
0.70699	65.67	16.05
0.59783	66.846	16.61
0.63726	67.97	16.068
0.72515	69.09	16.826
0.81729	70.627	16.73
0.50627	71.777	16.076
0.67528	72.952	16.164
0.77386	74.633	16.682
0.67355	76.115	16.819
0.73669	77.506	17.05
0.65989	0.64888	18.659
0.65199	2.0397	17.968
0.71257	3.2155	17.282
0.8078	4.6282	17.874
0.71683	6.9636	17.825
0.62524	8.2171	18.299
0.87975	9.6828	17.965
0.69389	11.244	17.818
0.75106	12.666	17.579
0.69588	14.107	17.691
0.66234	15.776	17.968
0.73062	17.168	17.944
0.73567	19.042	18.076
0.6764	20.522	18.396
0.76505	21.963	18.46
0.64002	23.321	18.8
0.66997	24.615	18.958
0.68822	25.517	17.946
0.51133	26.602	17.07
0.67839	27.796	17.216
0.72566	30.211	18.458
0.7708	31.127	19.639
0.7581	31.672	18.206
0.7911	33.212	18.046
0.6981	35.165	17.788
0.73859	36.66	17.28
0.69973	38.07	16.942
0.69533	39.394	16.514
0.70241	40.618	17.179
0.66259	43.192	17.366
0.75189	44.508	16.86
0.74687	46.237	16.982
0.58986	47.56	17.175
0.71922	48.999	17.314
0.75972	50.469	17.405
0.64664	51.921	17.41
0.75797	53.32	17.55
0.78241	54.854	17.608
0.74643	56.366	17.785
0.72975	57.831	17.867
0.55823	59.102	18.012
0.67092	60.114	17.326
0.68522	61.367	17.837
0.67855	62.705	18.089
0.62667	63.985	17.845
0.83808	65.424	17.573
0.58015	66.798	17.925
0.62286	67.836	17.318
0.80242	69.73	18.196
0.68041	71.2	18.111
0.63859	72.113	17.168
0.63775	73.414	17.391
0.69671	73.971	18.602
0.79586	75.353	18.071
0.70068	76.812	18.355
0.65368	78.155	18.274
0.6394	0.6334	19.953
0.72334	1.8534	19.327
0.814	3.2929	18.802
0.63859	4.6467	19.31
0.68977	5.8697	18.712
0.7919	7.2253	19.309
0.70302	8.9865	19.378
0.68151	10.496	19.295
0.77268	11.935	19.103
0.66997	13.346	18.824
0.7834	14.783	19.006
0.6736	16.223	19.223
0.75935	18.02	19.159
0.72412	19.584	19.435
0.80653	21.087	19.759
0.7774	22.643	20.042
0.77295	24.203	20.331
0.71352	25.92	19.388
0.73627	26.891	18.294
0.81563	28.47	18.888
0.67722	29.685	19.752
0.66664	32.29	20.718
0.67336	32.539	19.345
0.67489	34.389	18.916
0.70854	36.258	18.668
0.77816	37.714	18.373
0.69575	39.105	17.876
0.76497	40.36	18.62
0.84593	41.873	18.077
0.62552	44.176	18.191
0.65773	45.455	18.144
0.71743	46.818	18.318
0.68763	48.213	18.475
0.71	49.619	18.598
0.74379	51.061	18.781
0.72762	52.53	18.8
0.72345	54.016	18.856
0.66173	55.506	18.895
0.79858	57.038	19.171
0.78526	58.617	19.259
0.70075	60.101	18.766
0.67373	61.4	19.194
0.69085	62.734	19.453
0.73621	64.135	19.194
0.69826	65.565	19.101
0.58165	66.926	19.079
0.77903	68.221	18.662
0.72085	69.427	19.676
0.57617	70.639	19.232
0.68445	71.818	19.665
0.73254	72.559	18.462
0.68652	73.183	19.734
0.66804	74.553	19.832
0.74304	75.924	19.497
0.76469	77.608	19.582
0.73657	0.9179	21.298
0.74991	2.3455	20.702
0.76338	3.83	20.443
0.73255	5.632	20.246
0.59031	6.8817	20.645
0.68462	8.1377	20.468
0.6782	9.8226	20.473
0.61723	11.115	20.488
0.66516	12.394	20.456
0.76406	13.791	20.186
0.88773	15.397	20.557
0.81648	17.094	20.428
0.71134	18.619	20.497
0.70773	20	20.805
0.76137	21.383	21.293
0.7434	23.197	21.456
0.71524	24.688	21.735
0.64713	25.573	20.702
0.62189	27.228	19.603
0.89197	28.361	20.589
0.65808	29.826	21.075
0.58859	31.069	20.995
0.83976	33.728	20.276
0.59741	35.123	19.952
0.79227	36.492	20.146
0.59552	37.814	19.74
0.71589	39.041	19.286
0.72892	40.3	20.109
0.72173	41.664	19.62
0.80936	43.123	19.16
0.63968	44.687	19.343
0.61411	45.939	19.317
0.66004	47.412	19.554
0.71855	48.793	19.755
0.65442	50.161	19.849
0.71303	51.795	20.033
0.72653	53.23	20.072
0.84952	54.794	20.223
0.65408	56.284	20.408
0.67654	57.771	20.446
0.56917	59.01	20.551
0.73111	60.361	20.171
0.70495	61.751	20.525
0.7968	63.214	20.854
0.82072	64.806	20.592
0.78899	66.385	20.338
0.83176	67.994	20.251
0.75663	69.307	21.136
0.8182	70.839	20.801
0.75098	72.393	20.978
0.66131	73.8	20.927
0.74178	75.188	21.086
0.75034	76.646	20.802
0.63491	78.019	20.917
0.75901	0.76669	22.786
0.73607	2.1213	22.157
0.67678	3.4995	21.844
0.74658	4.8855	21.518
0.5841	6.1917	21.768
0.68407	7.4593	21.773
0.83994	8.9813	21.73
0.69122	10.517	21.651
0.58941	11.791	21.549
0.66019	13.22	21.487
0.73447	14.539	21.932
0.67864	16.404	21.751
0.82816	17.902	21.854
0.7532	19.451	22.154
0.61678	20.767	22.524
0.8176	22.193	22.641
0.74321	23.738	22.838
0.74011	26.231	22.024
0.63642	26.85	20.799
0.66412	27.632	21.964
0.62935	28.923	21.992
0.60604	30.577	22.081
0.63869	31.818	22.082
0.80651	33.24	21.844
0.66707	34.939	21.203
0.52516	36.202	21.428
0.72658	37.448	21.321
0.70385	38.719	20.668
0.65043	39.848	21.408
0.63338	41.429	20.944
0.67687	42.684	20.576
0.50344	43.928	20.197
0.71281	45.066	20.636
0.69044	46.46	20.51
0.76456	47.86	20.899
0.69691	49.279	21.229
0.8187	50.789	21.178
0.78926	52.462	21.376
0.56086	53.803	21.224
0.67183	55.574	21.524
0.74007	56.977	21.615
0.68143	58.395	21.65
0.79107	59.861	21.606
0.72793	61.346	21.898
0.72299	62.738	22.291
0.76778	64.209	22.057
0.75347	65.719	21.901
0.77523	67.225	21.656
0.74863	68.541	22.417
0.77307	70.062	22.46
0.73284	71.548	22.197
0.58566	72.974	22.178
0.71497	74.272	22.215
0.64577	76.076	22.148
0.71878	77.437	22.128
0.69118	0.68144	24.231
0.77744	2.0315	23.657
0.69422	3.4367	23.213
0.66957	4.7682	22.923
0.65176	6.7204	22.885
0.73907	8.1018	23.037
0.7944	9.9633	23.027
0.75297	11.496	22.853
0.73542	12.983	22.856
0.76081	14.303	23.555
0.71492	15.619	22.895
0.68756	17.008	23.078
0.81751	18.481	23.385
0.63984	19.931	23.461
0.72234	21.235	23.838
0.65971	22.874	23.943
0.64373	24.393	24.055
0.68593	25.226	23.026
0.58283	27.045	23.068
0.66785	28.361	23.159
0.68422	29.709	23.031
0.79461	31.152	23.35
0.66443	32.602	23.17
0.74908	34.206	23.057
0.73174	35.581	22.517
0.65454	36.963	22.613
0.7412	38.404	22.429
0.59287	39.72	22.64
0.72609	40.964	22.209
0.66757	42.371	21.881
0.78949	43.831	21.486
0.70632	45.218	22.043
0.80893	46.73	21.981
0.73985	48.343	22.316
0.59713	49.692	22.455
0.759	51.025	22.729
0.59733	52.376	22.756
0.59771	53.492	22.338
0.6431	54.717	22.513
0.81407	56.118	22.906
0.76387	57.713	22.922
0.6234	59.094	22.794
0.68745	60.391	22.981
0.67479	61.723	23.248
0.78177	63.639	23.489
0.70947	65.105	23.229
0.87193	66.684	23.208
0.67508	68.133	23.767
0.73023	69.531	23.865
0.73838	70.981	23.653
0.77036	72.466	23.432
0.6538	73.882	23.523
0.75649	75.268	23.291
0.68731	76.707	23.321
0.73701	0.74054	25.655
0.59072	1.8972	25.012
0.72033	3.187	24.604
0.63257	4.4743	24.187
0.62726	5.7716	23.74
0.65612	6.9812	24.167
0.69517	8.3022	24.448
0.65855	9.6454	24.437
0.64128	10.901	24.113
0.71762	12.255	24.107
0.67919	13.494	24.744
0.78233	15.601	24.386
0.58789	16.97	24.353
0.61835	18.105	24.76
0.7082	19.426	24.709
0.62004	20.701	25.065
0.71146	22.032	25.025
0.69544	23.568	25.1
0.6948	25.134	25.164
0.76799	26.169	24.13
0.63069	27.565	24.183
0.60306	28.787	24.355
0.67231	30.062	24.329
0.6801	32.004	24.544
0.75109	33.416	24.329
0.63232	34.799	24.302
